rng,-14,-11,-8,-5,-2,1,3,6,8,11,12,15,16,19,22,24,25,26,27
0xcc9b2c00,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,
0x6d79ec39,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,
0xeff9227e,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,
0xc10a43df,266,266,266,266,266,266,266,266,266,266,266,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x6f87082c,516,516,516,516,516,516,516,OUT,OUT,OUT,OUT,123,123,123,123,123,123,123,123,
0x1f0412f5,456,115,115,115,115,115,115,115,123,123,123,123,123,123,123,123,123,123,123,
0x5100e88a,456,456,456,636,636,636,636,636,636,636,636,636,636,OUT,OUT,OUT,OUT,OUT,OUT,
0xa8f93efb,521,521,521,521,521,521,521,521,521,521,521,111,111,111,111,111,111,111,111,
0x54727b18,555,215,215,215,215,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x22cfe971,353,353,353,353,353,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x6a0d0356,456,456,456,456,456,445,445,445,445,445,445,445,445,445,445,445,445,445,445,
0x8912cfd7,423,423,423,423,423,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x6fa030c4,222,222,222,222,222,222,153,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,123,123,123,
0xd1a8abad,154,154,154,154,154,154,154,123,123,123,123,123,123,123,123,123,123,123,123,
0x5dedfee2,456,456,456,456,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,
0x6ca9273,155,155,155,155,155,155,155,155,155,111,111,111,111,111,111,111,111,111,111,
0x14d19530,555,555,555,162,162,162,162,162,162,162,162,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x4bd155a9,445,445,445,445,445,445,445,445,445,445,445,445,123,123,123,123,123,123,123,
0x39f1272e,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,
0x2131e2cf,316,316,316,316,316,316,316,316,316,316,316,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x5072d45c,533,533,533,533,533,533,533,533,533,533,533,123,123,123,123,123,123,123,123,
0xd8c0a365,456,641,641,641,641,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
